institutionCode,collectionCode,collectionID,basisOfRecord,occurenceID,catalogueNumber,otherCatalogNumber,kingdom ,class ,order,family ,scientificName,scientificNameAuthorship,recordedBy,eventDate,occurrenceRemarks,habitat,country,stateProvince,county,locality,decimalLatitude,decimalLongitude,verbatimElevation
DBG,DBG,881dbacb-effd-4a6a-b4f4-45da2579e689,PreservedSpecimen,596a4eea-a8b9-40c5-a125-1288450fec7c,DBG-F-010003,10003,,,,,Licea castanea,G. Lister,Shirley Chapman,,,boxelder bark,USA,Colorado,Jefferson County,4303 Benton Street,39.77491,-105.055862,
DBG,DBG,881dbacb-effd-4a6a-b4f4-45da2579e689,PreservedSpecimen,26f1cc9c-4272-4013-a14a-e3491eb478e4,DBG-F-010010,10010,Protozoa,Myxomycetes,Physarales,Physaraceae,Trichia decipiens,(Pers.) T. Macbr.,"Duane H. ""Sam"" Mitchel",9/2/79,,,USA,Colorado,Gilpin County,"Arapaho National Forest, Pickle Gulch",39.8484,-106.0897,
DBG,DBG,881dbacb-effd-4a6a-b4f4-45da2579e689,PreservedSpecimen,f3f9f75c-57f0-4d66-bfa5-57e88c8ff453,DBG-F-010015,10015,Protozoa,Myxomycetes,Physarales,Physaraceae,Trichia botrytis,,"Duane H. ""Sam"" Mitchel",9/2/79,,,USA,Colorado,Gilpin County,"Arapaho National Forest, Pickle Gulch",39.8484,-106.0897,
DBG,DBG,881dbacb-effd-4a6a-b4f4-45da2579e689,PreservedSpecimen,1b77650e-d12a-4539-93f4-bf4ecc771624,DBG-F-001003,1003,Fungi,Agaricomycetes,Russulales,Russulaceae,Russula,Pers.,Mary Wells,8/5/66,Number of specimens in set: 1,Two-needle pine. On ground,USA,Colorado,Gunnison County,"Gunnison National Forest, Gold Creek Road,Ohio Creek",,,3048
DBG,DBG,881dbacb-effd-4a6a-b4f4-45da2579e689,PreservedSpecimen,3dfc1bfd-0c6a-4716-8ceb-461d3857ab6a,DBG-F-010031,10031,Fungi,Pezizomycetes,Pezizales,Pezizaceae,Peziza,,"Duane H. ""Sam"" Mitchel",9/1/79,,Decayed wood.  Conifer?,USA,Colorado,Clear Creek County,"Arapaho National Forest, Squaw Pass.  Six mile stop",39.6901,-105.474,2957
DBG,DBG,881dbacb-effd-4a6a-b4f4-45da2579e689,PreservedSpecimen,67b69389-8e2b-4dd5-aadb-07f5e305ec76,DBG-F-010032,10032,Fungi,Pezizomycetes,Pezizales,Discinaceae,Gyromitra,Fr.,"Duane H. ""Sam"" Mitchel",9/1/79,,,USA,Colorado,Clear Creek County,"Six mile stop, Squaw Pass",39.6901,-105.474,2957
DBG,DBG,881dbacb-effd-4a6a-b4f4-45da2579e689,PreservedSpecimen,d87a5111-6f18-4da6-a7e3-a453ff397f57,DBG-F-010033,10033,Fungi,Agaricomycetes,Agaricales,Clavariaceae,Clavaria,,"Duane H. ""Sam"" Mitchel",9/2/79,Number of specimens in set: 1,,USA,Colorado,Gilpin County,"Roosevelt National Forest, Pickle Gulch",39.848924,-105.5303,
DBG,DBG,881dbacb-effd-4a6a-b4f4-45da2579e689,PreservedSpecimen,b0f461d4-3a6b-497a-91a4-54484b99577e,DBG-F-001004,1004,Fungi,Agaricomycetes,Gomphales,Gomphaceae,Ramaria subbotrytis,(Coker) Corner,Mary Wells,8/15/66,,,USA,Colorado,Gunnison County,"Gunnison National Forest, Gold Creek, Ohio City",38.5652,-106.6114,2621
DBG,DBG,881dbacb-effd-4a6a-b4f4-45da2579e689,PreservedSpecimen,4cd9f490-c676-42ff-829f-470bca8af5d4,DBG-F-010041,10041,Algae,,,Tubiferaceae,Diderma floriforme,(Bull.) Pers.,"Duane H. ""Sam"" Mitchel",9/2/79,,,USA,Colorado,Gilpin County,"Arapahoe National Forest, Pickle Gulch",39.8489,-105.5303,
DBG,DBG,881dbacb-effd-4a6a-b4f4-45da2579e689,PreservedSpecimen,8272b7ff-c91b-43bb-91eb-d1122e46a2ea,DBG-F-010067,10067,Protozoa,Myxomycetes,Physarales,Physaraceae,Trichia favoginea,(Batsch) Pers.,Shirley Chapman,10/20/79,Number of specimens in set: 1,Spruce,USA,Colorado,Clear Creek County,Squaw Pass. Six mile stop,39.6901,-105.474,
